name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Demonic Consultation,unsupported,Hard,Instant,{B},1.0,uncommon,ice,1995-06-03,,"Choose a card name. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with the chosen name. Put that card into your hand and exile all other cards revealed this way.",in unsupported.txt
Denied!,unsupported,Hard,Instant,{U},1.0,common,ugl,1998-08-11,,"Choose a card name, then target spell's controller reveals their hand. If a card with the chosen name is revealed this way, counter that spell.",in unsupported.txt
Desertion,unsupported,Hard,Instant,{3}{U}{U},5.0,rare,vis,1997-02-03,,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.",in unsupported.txt
Desperate Gambit,unsupported,Hard,Instant,{R},1.0,uncommon,wth,1997-06-09,,"Choose a source you control and flip a coin. If you win the flip, the next time that source would deal damage this turn, it deals double that damage instead. If you lose the flip, the next time it would deal damage this turn, prevent that damage.",in unsupported.txt
Disarm,unsupported,Hard,Instant,{U},1.0,common,mrd,2003-10-02,,Unattach all Equipment from target creature.,in unsupported.txt
Discontinuity,unsupported,Hard,Instant,{3}{U}{U}{U},6.0,mythic,m21,2020-07-03,,"During your turn, this spell costs {2}{U}{U} less to cast.
End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",in unsupported.txt
Divergent Transformations,unsupported,Hard,Instant,{6}{R},7.0,rare,c16,2016-11-11,Undaunted,"Undaunted (This spell costs {1} less to cast for each opponent.)
Exile two target creatures. For each of those creatures, its controller reveals cards from the top of their library until they reveal a creature card, puts that card onto the battlefield, then shuffles the rest into their library.",in unsupported.txt
Divert,unsupported,Hard,Instant,{U},1.0,rare,ody,2001-10-01,,Change the target of target spell with a single target unless that spell's controller pays {2}.,in unsupported.txt
Divine Deflection,unsupported,Hard,Instant,{X}{W},1.0,rare,avr,2012-05-04,,"Prevent the next X damage that would be dealt to you and/or permanents you control this turn. If damage is prevented this way, Divine Deflection deals that much damage to any target.",in unsupported.txt
Divine Resilience,missing,Hard,Instant,{W},1.0,uncommon,fdn,2024-11-15,Kicker,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",oracle:kicker
Dromoka's Command,unsupported,Hard,Instant,{G}{W},2.0,rare,pdtk,2015-03-27,Fight,"Choose two —
• Prevent all damage target instant or sorcery spell would deal this turn.
• Target player sacrifices an enchantment of their choice.
• Put a +1/+1 counter on target creature.
• Target creature you control fights target creature you don't control.",in unsupported.txt
Duh,unsupported,Hard,Instant,{B},1.0,common,unh,2004-11-19,,Destroy target creature with reminder text. (Reminder text is any italicized text in parentheses that explains rules you already know.),in unsupported.txt
Enchantment Alteration,unsupported,Hard,Instant,{U},1.0,common,leg,1994-06-01,,Attach target Aura attached to a creature or land to another permanent of that type.,in unsupported.txt
Epiphany at the Drownyard,unsupported,Hard,Instant,{X}{U},1.0,rare,psoi,2016-04-08,,Reveal the top X plus one cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,in unsupported.txt
Equal Treatment,unsupported,Hard,Instant,{1}{W},2.0,uncommon,tor,2002-02-04,,"If any source would deal 1 or more damage to a permanent or player this turn, it deals 2 damage to that permanent or player instead.
Draw a card.",in unsupported.txt
Erase (Not the Urza's Legacy One),unsupported,Hard,Instant,{2}{W},3.0,common,unh,2004-11-19,,"If you control two or more white permanents that share an artist, you may cast this spell without paying its mana cost.
Exile target enchantment.",in unsupported.txt
Errand of Duty,unsupported,Hard,Instant,{1}{W},2.0,common,all,1996-06-10,,"Create a 1/1 white Knight creature token with banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",in unsupported.txt
Ertai's Meddling,unsupported,Hard,Instant,{X}{U},1.0,rare,tmp,1997-10-14,,"X can't be 0.
Target spell's controller exiles it with X delay counters on it.
At the beginning of each of that player's upkeeps, if that card is exiled, remove a delay counter from it. If the card has no delay counters on it, the player puts it onto the stack as a copy of the original spell.",in unsupported.txt
Espers to Magicite,missing,Hard,Instant,{3}{B},4.0,rare,fic,2025-06-13,,"Exile each opponent's graveyard. When you do, choose up to one target creature card exiled this way. Create a token that's a copy of that card, except it's an artifact and it loses all other card types.",oracle:copy of
Everdream,unsupported,Hard,Instant,{1}{U},2.0,uncommon,mh1,2019-06-14,Splice,"Draw a card.
Splice onto instant or sorcery {2}{U} (As you cast an instant or sorcery spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",in unsupported.txt
Eye to Eye,unsupported,Hard,Instant,{2}{B},3.0,uncommon,unh,2004-11-19,,"You and target creature's controller have a staring contest. If you win, destroy that creature.",in unsupported.txt
Faith's Shield,unsupported,Hard,Instant,{W},1.0,uncommon,dka,2012-02-03,Fateful hour,"Target permanent you control gains protection from the color of your choice until end of turn.
Fateful hour — If you have 5 or less life, instead you and each permanent you control gain protection from the color of your choice until end of turn.",in unsupported.txt
False Orders,unsupported,Hard,Instant,{R},1.0,common,lea,1993-08-05,,"Cast this spell only during the declare blockers step.
Remove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice.",in unsupported.txt
Fate Transfer,unsupported,Hard,Instant,{1}{U/B},2.0,common,shm,2008-05-02,,Move all counters from target creature onto another target creature.,in unsupported.txt
Feint,unsupported,Hard,Instant,{R},1.0,common,leg,1994-06-01,,Tap all creatures blocking target attacking creature. Prevent all combat damage that would be dealt this turn by that creature and each creature blocking it.,in unsupported.txt
First Pick,unsupported,Hard,Instant,{3}{G},4.0,uncommon,ust,2017-12-08,Assemble,Destroy target artifact or enchantment. Assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.),in unsupported.txt
Fistful of Force,unsupported,Hard,Instant,{1}{G},2.0,common,lrw,2007-10-12,Clash,"Target creature gets +2/+2 until end of turn. Clash with an opponent. If you win, that creature gets an additional +2/+2 and gains trample until end of turn. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Flaring Pain,unsupported,Hard,Instant,{1}{R},2.0,common,jud,2002-05-27,Flashback,"Damage can't be prevented this turn.
Flashback {R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",in unsupported.txt
Flash,unsupported,Hard,Instant,{1}{U},2.0,rare,mir,1996-10-08,,"You may put a creature card from your hand onto the battlefield. If you do, sacrifice it unless you pay its mana cost reduced by {2}.",in unsupported.txt
Flash of Insight,unsupported,Hard,Instant,{X}{1}{U},2.0,uncommon,jud,2002-05-27,Flashback,"Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
Flashback—{1}{U}, Exile X blue cards from your graveyard. (You may cast this card from your graveyard for its flashback cost, then exile it. You can't exile Flash of Insight to pay for its own flashback cost.)",in unsupported.txt
Fleeting Reflection,missing,Hard,Instant,{1}{U},2.0,uncommon,otj,2024-04-19,,"Target creature you control gains hexproof until end of turn. Untap that creature. Until end of turn, it becomes a copy of up to one other target creature.",oracle:copy of
Fog Patch,unsupported,Hard,Instant,{1}{G},2.0,common,nem,2000-02-14,,"Cast this spell only during the declare blockers step.
Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)",in unsupported.txt
Formation,unsupported,Hard,Instant,{1}{W},2.0,rare,ice,1995-06-03,,"Target creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Draw a card at the beginning of the next turn's upkeep.",in unsupported.txt
Fortune's Favor,unsupported,Hard,Instant,{3}{U},4.0,uncommon,emn,2016-07-22,,Target opponent looks at the top four cards of your library and separates them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard.,in unsupported.txt
Foul Renewal,unsupported,Hard,Instant,{3}{B},4.0,rare,dtk,2015-03-27,,"Return target creature card from your graveyard to your hand. Target creature gets -X/-X until end of turn, where X is the toughness of the card returned this way.",in unsupported.txt
Framed!,unsupported,Hard,Instant,{1}{U},2.0,common,unh,2004-11-19,,Choose an artist. Tap all untapped permanents with art by that artist or untap all tapped permanents with art by that artist.,in unsupported.txt
Friendly Fire,unsupported,Hard,Instant,{3}{R},4.0,uncommon,frf,2015-01-23,,Target creature's controller reveals a card at random from their hand. Friendly Fire deals damage to that creature and that player equal to the revealed card's mana value.,in unsupported.txt
Fulgent Distraction,unsupported,Hard,Instant,{2}{W},3.0,common,som,2010-10-01,,"Choose two target creatures. Tap those creatures, then unattach all Equipment from them.",in unsupported.txt
Fumble,unsupported,Hard,Instant,{1}{U},2.0,uncommon,bbd,2018-06-08,,"Return target creature to its owner's hand. Gain control of all Auras and Equipment that were attached to it, then attach them to another creature.",in unsupported.txt
Galadriel's Dismissal,missing,Hard,Instant,{W},1.0,rare,ltc,2023-11-03,Kicker,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Target creature phases out. If this spell was kicked, each creature target player controls phases out instead. (Treat phased-out creatures and anything attached to them as though they don't exist until their controller's next turn.)",oracle:kicker
Garbage Fire,unsupported,Hard,Instant,{2}{R},3.0,common,cn2,2016-08-26,,"Reveal this card as you draft it and note how many cards you've drafted this draft round, including this card.
Garbage Fire deals damage to target creature equal to the highest number you noted for cards named Garbage Fire.",in unsupported.txt
Gather Specimens,unsupported,Hard,Instant,{3}{U}{U}{U},6.0,rare,ala,2008-10-03,,"If a creature would enter the battlefield under an opponent's control this turn, it enters under your control instead.",in unsupported.txt
Gaze of the Gorgon,unsupported,Hard,Instant,{3}{B/G},4.0,common,rav,2005-10-07,,"({B/G} can be paid with either {B} or {G}.)
Regenerate target creature. At this turn's next end of combat, destroy all creatures that blocked or were blocked by it this turn.",in unsupported.txt
Get a Life,unsupported,Hard,Instant,{W},1.0,uncommon,ugl,1998-08-11,,Target player and each of that player's teammates exchange life totals.,in unsupported.txt
Gideon's Sacrifice,unsupported,Hard,Instant,{W},1.0,common,war,2019-05-03,,Choose a creature or planeswalker you control. All damage that would be dealt this turn to you and permanents you control is dealt to the chosen permanent instead (if it's still on the battlefield).,in unsupported.txt
Gifts Given,unsupported,Hard,Instant,{3}{U},4.0,rare,hho,2007-12-01,,Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles their library.,in unsupported.txt
Gifts Ungiven,unsupported,Hard,Instant,{3}{U},4.0,rare,chk,2004-10-01,,Search your library for up to four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle.,in unsupported.txt
Gimme Five,unsupported,Hard,Instant,{W},1.0,uncommon,ust,2017-12-08,,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in an Un-game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),in unsupported.txt
Glamerdye,unsupported,Hard,Instant,{1}{U},2.0,rare,eve,2008-07-25,Retrace,"Change the text of target spell or permanent by replacing all instances of one color word with another.
Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)",in unsupported.txt
Glorious End,unsupported,Hard,Instant,{2}{R},3.0,mythic,akh,2017-04-28,,"End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)
At the beginning of your next end step, you lose the game.",in unsupported.txt
Glyph of Delusion,unsupported,Hard,Instant,{U},1.0,common,leg,1994-06-01,,"Put X glyph counters on target creature that target Wall blocked this turn, where X is the power of that blocked creature. The creature gains ""This creature doesn't untap during your untap step if it has a glyph counter on it"" and ""At the beginning of your upkeep, remove a glyph counter from this creature.""",in unsupported.txt
Glyph of Doom,unsupported,Hard,Instant,{B},1.0,common,leg,1994-06-01,,"Choose target Wall creature. At this turn's next end of combat, destroy all creatures that were blocked by that creature this turn.",in unsupported.txt
Glyph of Reincarnation,unsupported,Hard,Instant,{G},1.0,common,leg,1994-06-01,,"Cast this spell only after combat.
Destroy all creatures that were blocked by target Wall this turn. They can't be regenerated. For each creature that died this way, put a creature card from the graveyard of the player who controlled that creature the last time it became blocked by that Wall onto the battlefield under its owner's control.",in unsupported.txt
Goblin Tutor,unsupported,Hard,Instant,{R},1.0,uncommon,ugl,1998-08-11,,"Roll a six-sided die. If you roll a 1, Goblin Tutor has no effect. Otherwise, search your library for the indicated card, reveal it, put it into your hand, then shuffle.
2 — A card named Goblin Tutor
3 — An enchantment
4 — An artifact
5 — A creature
6 — An instant or sorcery",in unsupported.txt
Graphic Violence,unsupported,Hard,Instant,{2}{G},3.0,common,unh,2004-11-19,,All creatures with art by the artist of your choice get +2/+2 and gain trample until end of turn.,in unsupported.txt
Grim Reminder,unsupported,Hard,Instant,{2}{B},3.0,rare,mrd,2003-10-02,,"Search your library for a nonland card and reveal it. Each opponent who cast a spell this turn with the same name as that card loses 6 life. Then shuffle.
{B}{B}: Return this card from your graveyard to your hand. Activate only during your upkeep.",in unsupported.txt
Guardian Angel,unsupported,Hard,Instant,{X}{W},1.0,common,lea,1993-08-05,,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn.",in unsupported.txt
Hallow,unsupported,Hard,Instant,{W},1.0,common,dst,2004-02-06,,Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.,in unsupported.txt
Harm's Way,unsupported,Hard,Instant,{W},1.0,uncommon,m10,2009-07-17,,The next 2 damage that a source of your choice would deal to you and/or permanents you control this turn is dealt to any target instead.,in unsupported.txt
Head to Head,unsupported,Hard,Instant,{W},1.0,uncommon,unh,2004-11-19,,"You and target opponent play Seven Questions with the top card of that player's library. If you win, prevent all damage that would be dealt this turn by a source of your choice. (To play Seven Questions, that player looks at the card, then you ask up to six yes-or-no questions about the card that they answer truthfully. You guess the card's name—that's question seven—then the player reveals the card.)",in unsupported.txt
Honorable Passage,unsupported,Hard,Instant,{1}{W},2.0,uncommon,vis,1997-02-03,,"The next time a source of your choice would deal damage to any target this turn, prevent that damage. If damage from a red source is prevented this way, Honorable Passage deals that much damage to the source's controller.",in unsupported.txt
Illusionist's Gambit,unsupported,Hard,Instant,{2}{U}{U},4.0,rare,c13,2013-11-01,,"Cast this spell only during the declare blockers step on an opponent's turn.
Remove all attacking creatures from combat and untap them. After this phase, there is an additional combat phase. Each of those creatures attacks that combat if able. They can't attack you or planeswalkers you control that combat.",in unsupported.txt
Imp's Mischief,unsupported,Hard,Instant,{1}{B},2.0,rare,plc,2007-02-02,,Change the target of target spell with a single target. You lose life equal to that spell's mana value.,in unsupported.txt
Impact Resonance,unsupported,Hard,Instant,{1}{R},2.0,rare,c14,2014-11-07,,"Impact Resonance deals X damage divided as you choose among any number of target creatures, where X is the greatest amount of damage dealt by a source to a permanent or player this turn.",in unsupported.txt
Inkshield,unsupported,Hard,Instant,{3}{W}{B},5.0,rare,c21,2021-04-23,,"Prevent all combat damage that would be dealt to you this turn. For each 1 damage prevented this way, create a 2/1 white and black Inkling creature token with flying.",in unsupported.txt
Interdict,unsupported,Hard,Instant,{1}{U},2.0,uncommon,tmp,1997-10-14,,"Counter target activated ability from an artifact, creature, enchantment, or land. That permanent's activated abilities can't be activated this turn. (Mana abilities can't be targeted.)
Draw a card.",in unsupported.txt
Intervention Pact,unsupported,Hard,Instant,{0},0.0,rare,fut,2007-05-04,,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.
At the beginning of your next upkeep, pay {1}{W}{W}. If you don't, you lose the game.",in unsupported.txt
Invulnerability,unsupported,Hard,Instant,{1}{W},2.0,uncommon,tmp,1997-10-14,Buyback,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
The next time a source of your choice would deal damage to you this turn, prevent that damage.",in unsupported.txt
Just Desserts,unsupported,Hard,Instant,{1}{R},2.0,common,ust,2017-12-08,,Just Desserts deals π damage to target creature. (π is the ratio of a circle's circumference to its diameter. (It's a smidgen more than 3.)),in unsupported.txt
Kor Chant,unsupported,Hard,Instant,{2}{W},3.0,common,exo,1998-06-15,,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.,in unsupported.txt
Kor Dirge,unsupported,Hard,Instant,{2}{B},3.0,uncommon,plc,2007-02-02,,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.,in unsupported.txt
Lae'zel's Acrobatics,unsupported,Hard,Instant,{3}{W},4.0,rare,clb,2022-06-10,,"Exile all nontoken creatures you control, then roll a d20.
1—9 | Return those cards to the battlefield under their owner's control at the beginning of the next end step.
10—20 | Return those cards to the battlefield under their owner's control, then exile them again. Return those cards to the battlefield under their owner's control at the beginning of the next end step.",in unsupported.txt
Lammastide Weave,unsupported,Hard,Instant,{1}{G},2.0,uncommon,lrw,2007-10-12,Mill,"Choose a card name, then target player mills a card. If a card with the chosen name was milled this way, you gain life equal to its mana value.
Draw a card.",in unsupported.txt
Lash Out,unsupported,Hard,Instant,{1}{R},2.0,common,lrw,2007-10-12,Clash,"Lash Out deals 3 damage to target creature. Clash with an opponent. If you win, Lash Out deals 3 damage to that creature's controller. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Lightning Storm,unsupported,Hard,Instant,{1}{R}{R},3.0,uncommon,csp,2006-07-21,,"Lightning Storm deals X damage to any target, where X is 3 plus the number of charge counters on Lightning Storm.
Discard a land card: Put two charge counters on Lightning Storm. You may choose a new target for it. Any player may activate this ability but only if Lightning Storm is on the stack.",in unsupported.txt
Mages' Contest,unsupported,Hard,Instant,{1}{R}{R},3.0,rare,inv,2000-10-02,,"You and target spell's controller bid life. You start the bidding with a bid of 1. In turn order, each player may top the high bid. The bidding ends if the high bid stands. The high bidder loses life equal to the high bid. If you win the bidding, counter that spell.",in unsupported.txt
Magical Hack,unsupported,Hard,Instant,{U},1.0,rare,lea,1993-08-05,,"Change the text of target spell or permanent by replacing all instances of one basic land type with another. (For example, you may change ""swampwalk"" to ""plainswalk."" This effect lasts indefinitely.)",in unsupported.txt
Mana Flair,unsupported,Hard,Instant,{1}{R},2.0,common,unh,2004-11-19,,Add {R} for each nonland permanent with art by the artist of your choice.,in unsupported.txt
Mandate of Peace,unsupported,Hard,Instant,{1}{W},2.0,rare,c19,2019-08-23,,"Cast this spell only during combat.
Your opponents can't cast spells this turn.
End the combat phase. (Remove all attackers and blockers from combat. Exile all spells and abilities from the stack, including this spell.)",in unsupported.txt
Martyrdom,unsupported,Hard,Instant,{1}{W}{W},3.0,common,all,1996-06-10,,"Until end of turn, target creature you control gains ""{0}: The next 1 damage that would be dealt to target creature, planeswalker, or player this turn is dealt to this creature instead."" Only you may activate this ability.",in unsupported.txt
Meddle,unsupported,Hard,Instant,{1}{U},2.0,uncommon,mir,1996-10-08,,"If target spell has only one target and that target is a creature, change that spell's target to another creature.",in unsupported.txt
Melee,unsupported,Hard,Instant,{4}{R},5.0,uncommon,ice,1995-06-03,,"Cast this spell only during combat on your turn before blockers are declared.
You choose which creatures block this combat and how those creatures block.
Whenever a creature attacks and isn't blocked this combat, untap it and remove it from combat.",in unsupported.txt
Minamo's Meddling,unsupported,Hard,Instant,{2}{U}{U},4.0,common,bok,2005-02-04,,"Counter target spell. That spell's controller reveals their hand, then discards each card with the same name as a card spliced onto that spell.",in unsupported.txt
Mind Bend,unsupported,Hard,Instant,{U},1.0,uncommon,mir,1996-10-08,,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)",in unsupported.txt
Mirror Strike,unsupported,Hard,Instant,{3}{W},4.0,uncommon,pcy,2000-06-05,,All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.,in unsupported.txt
Mirrorweave,unsupported,Hard,Instant,{2}{W/U}{W/U},4.0,rare,shm,2008-05-02,,Each other creature becomes a copy of target nonlegendary creature until end of turn.,in unsupported.txt
Moonlight Hunt,unsupported,Hard,Instant,{1}{G},2.0,uncommon,soi,2016-04-08,,Choose target creature you don't control. Each creature you control that's a Wolf or a Werewolf deals damage equal to its power to that creature.,in unsupported.txt
More or Less,unsupported,Hard,Instant,{U},1.0,uncommon,ust,2017-12-08,,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,in unsupported.txt
Murderous Spoils,unsupported,Hard,Instant,{5}{B},6.0,uncommon,dst,2004-02-06,,Destroy target nonblack creature. It can't be regenerated. You gain control of all Equipment that were attached to it. (This effect lasts indefinitely.),in unsupported.txt
Mysterious Confluence,missing,Hard,Instant,{5},5.0,rare,unk,2023-07-29,,"Choose a card at random from among Righteous Confluence, Mystic Confluence, Wretched Confluence, Fiery Confluence, Verdant Confluence, Brokers Confluence, Cabaretti Confluence, Maestros Confluence, Obscura Confluence, and Riveteers Confluence. Create a copy of that card. You may cast the copy without paying its mana cost. (Roll a D10 to determine the random card.)",oracle:copy of
Nix,unsupported,Hard,Instant,{U},1.0,rare,fut,2007-05-04,,Counter target spell if no mana was spent to cast it.,in unsupported.txt
Number Crunch,unsupported,Hard,Instant,{2}{U},3.0,common,unh,2004-11-19,,"Return target permanent to its owner's hand.
Gotcha — If an opponent says a number, you may say ""Gotcha!"" When you do, return this card from your graveyard to your hand.",in unsupported.txt
Perplex,unsupported,Hard,Instant,{1}{U}{B},3.0,common,rav,2005-10-07,Transmute,"Counter target spell unless its controller discards their hand.
Transmute {1}{U}{B} ({1}{U}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)",in unsupported.txt
Pollen Lullaby,unsupported,Hard,Instant,{1}{W},2.0,uncommon,lrw,2007-10-12,Clash,"Prevent all combat damage that would be dealt this turn. Clash with an opponent. If you win, creatures that player controls don't untap during the player's next untap step. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Power Sink,unsupported,Hard,Instant,{X}{U},1.0,common,lea,1993-08-05,,"Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana.",in unsupported.txt
Psychic Rebuttal,unsupported,Hard,Instant,{1}{U},2.0,uncommon,ori,2015-07-17,Spell mastery,"Counter target instant or sorcery spell that targets you.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may copy the spell countered this way. You may choose new targets for the copy.",in unsupported.txt
Punctuate,unsupported,Hard,Instant,{3}{R},4.0,common,unh,2004-11-19,,"Punctuate deals damage to target creature equal to half the number of punctuation marks in that creature's text box. (The punctuation marks are ! ? , ; : - — ( ) / "" "" ' ' & .)",in unsupported.txt
Radiate,unsupported,Hard,Instant,{3}{R}{R},5.0,rare,tor,2002-02-04,,Choose target instant or sorcery spell that targets only a single permanent or player. Copy that spell for each other permanent or player the spell could target. Each copy targets a different one of those permanents and players.,in unsupported.txt
Rapid Fire,unsupported,Hard,Instant,{3}{W},4.0,rare,leg,1994-06-01,,"Cast this spell only before blockers are declared.
Target creature gains first strike until end of turn. If it doesn't have rampage, that creature gains rampage 2 until end of turn. (Whenever the creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)",in unsupported.txt
Realms Uncharted,unsupported,Hard,Instant,{2}{G},3.0,rare,roe,2010-04-23,,Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle.,in unsupported.txt
Rebound,unsupported,Hard,Instant,{1}{U},2.0,uncommon,sth,1998-03-02,,Change the target of target spell that targets only a player. The new target must be a player.,in unsupported.txt
Redeem the Lost,unsupported,Hard,Instant,{1}{W},2.0,uncommon,mor,2008-02-01,Clash,"Target creature you control gains protection from the color of your choice until end of turn. Clash with an opponent. If you win, return Redeem the Lost to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Reflect Damage,unsupported,Hard,Instant,{3}{R}{W},5.0,rare,mir,1996-10-08,,"The next time a source of your choice would deal damage this turn, that damage is dealt to that source's controller instead.",in unsupported.txt
Regicide,unsupported,Hard,Instant,{B},1.0,common,cn2,2016-08-26,,"Reveal this card as you draft it. The player to your right chooses a color, you choose another color, then the player to your left chooses a third color.
Destroy target creature that's one or more of the colors chosen as you drafted cards named Regicide.",in unsupported.txt
Release the Ants,unsupported,Hard,Instant,{1}{R},2.0,uncommon,mor,2008-02-01,Clash,"Release the Ants deals 1 damage to any target. Clash with an opponent. If you win, return Release the Ants to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Remodel,unsupported,Hard,Instant,{2}{G},3.0,common,unh,2004-11-19,,"If you control two or more green permanents that share an artist, you may cast this spell without paying its mana cost.
Exile target artifact.",in unsupported.txt
Remove Enchantments,unsupported,Hard,Instant,{W},1.0,common,leg,1994-06-01,,"Return to your hand all enchantments you both own and control, all Auras you own attached to permanents you control, and all Auras you own attached to attacking creatures your opponents control. Then destroy all other enchantments you control, all other Auras attached to permanents you control, and all other Auras attached to attacking creatures your opponents control.",in unsupported.txt
Reroute,unsupported,Hard,Instant,{1}{R},2.0,uncommon,rav,2005-10-07,,"Change the target of target activated ability with a single target. (Mana abilities can't be targeted.)
Draw a card.",in unsupported.txt
Revealing Wind,unsupported,Hard,Instant,{2}{G},3.0,common,dtk,2015-03-27,,Prevent all combat damage that would be dealt this turn. You may look at each face-down creature that's attacking or blocking.,in unsupported.txt
Reverberation,unsupported,Hard,Instant,{2}{U}{U},4.0,rare,leg,1994-06-01,,All damage that would be dealt this turn by target sorcery spell is dealt to that spell's controller instead.,in unsupported.txt
Reverse Damage,unsupported,Hard,Instant,{1}{W}{W},3.0,rare,lea,1993-08-05,,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.",in unsupported.txt
Reverse Polarity,unsupported,Hard,Instant,{W}{W},2.0,common,atq,1994-03-04,,"You gain X life, where X is twice the damage dealt to you so far this turn by artifacts.",in unsupported.txt
Rust,unsupported,Hard,Instant,{G},1.0,common,leg,1994-06-01,,Counter target activated ability from an artifact source. (Mana abilities can't be targeted.),in unsupported.txt
Sacred Boon,unsupported,Hard,Instant,{1}{W},2.0,uncommon,ice,1995-06-03,,"Prevent the next 3 damage that would be dealt to target creature this turn. At the beginning of the next end step, put a +0/+1 counter on that creature for each 1 damage prevented this way.",in unsupported.txt
Sacrifice Play,unsupported,Hard,Instant,{2}{W},3.0,common,ust,2017-12-08,,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,in unsupported.txt
Sail into the West,unsupported,Hard,Instant,{2}{G}{U},4.0,rare,ltc,2023-06-23,Will of the council,"Will of the council — Starting with you, each player votes for return or embark. If return gets more votes, each player returns up to two cards from their graveyard to their hand, then you exile Sail into the West. If embark gets more votes or the vote is tied, each player may discard their hand and draw seven cards.",in unsupported.txt
Samite Ministration,unsupported,Hard,Instant,{1}{W},2.0,uncommon,inv,2000-10-02,,"Prevent all damage that would be dealt to you this turn by a source of your choice. Whenever damage from a black or red source is prevented this way this turn, you gain that much life.",in unsupported.txt
